x-Achse;y = 1/4*x^2;Error1;y = 4*sqrt(x);Error2;y = 4/x;Error3
0;-0.221566667;1;0.317045795;1;39.2;2
1;0.865130315;1;3.181707377;1;5.560116879;2.8
2;1.84758754;1.5;5.118482764;1;2.09565248;2.8
3;1.157638592;1.5;7.754667289;1.5;2.441254154;1.2
4;1.651786365;2.5;8.661299848;1.5;1.54619559;1.4
5;6.152538095;2.5;9.2139041;2;1.482878826;1.4
6;8.118056125;3;9.64348504;2;1.130207802;1.1
7;13.12737583;3;9.965199067;2.5;0.773054736;1.2
8;14.42279119;3.5;11.84879592;2.5;1.154560223;1
9;17.97885624;3.5;14.12095953;2.5;-0.32172543;1.1
10;24.68928755;4;9.566064195;3.5;-0.082065527;0.8
11;26.96173594;4.5;10.23263826;3.5;0.780115009;0.5
12;38.5187074;4;16.53177007;3;-0.096798081;0.5
